S_score,isTarget,title,targetName,content,L_score,score,date
0,1,Re: [標的] 2448 晶電,,"
這檔進場了幾次
目前10張
成本約23.6
這是目前我的狀況

晶電,我的感受是
只要一盤起來
就是在比耐性
讓人實在很煩躁

今天主力為何選擇拉這檔股本大的LED一哥
我不知道
我知道的
晶電,總是
就一陣的過眼雲煙
持久度實在稍嫌不夠
好像有人在來回作價差似的
這就是晶電給我的感覺

今天漲停,我沒出場
就一個貪字而已,沒別的

晚上看籌碼
發現今天主要拉抬的
都是市場上赫赫有名的隔日沖主力

這些人
倒完貨就入袋,之後也沒他的事
倒楣的絕對是我小慘戶

如果市場後續盤勢不夠強
之後多殺多,馬上回歸平淡

接著進入盤整局
一盤又不知道是打算盤多久
錢又開始卡死在那邊
甚至還賠錢
這是一個最惡劣的狀況

最後,迎接我的
又是一場空

當然可能背後有什麼利多
或者類股輪動怎樣怎樣的,強者恆強
也能選擇這樣想是沒錯!

BUT~
當我看到主力是這些人
不管他們是計畫如何出掉手上近萬張的單
我心理已經有出場的打算
不打算繼續跟他耗


分享我2種出場方式


#明天開高
馬上分批出場

#3日盤中沒創高
分批全部出場
3日內,全出

當然
小慘戶我沒辦法預測後續是否還有高點
也不是說在鼓吹大家出貨
就純粹是心得
分享給各位晶電的小股東們參考

--
",64,64,2017-02-18 09:26:03
0,0,[閒聊] 2017/02/18 盤中閒聊,,"
補班

狼大也放假了

今天會多死魚？

--
",0,956,2017-02-18 08:31:01
0,0,[請益] 葉黃素相關股票,,"


  各位前輩, 想請教一下三多葉黃素是否有相關產業的股票?

  或者其他家公司有相關葉黃素的股票可以投資嗎?

  感謝

--
",0,17,2017-02-18 07:59:24
0,0,[新聞] 瀚宇博105年合併獲利。每股稅後2.10元,,"

1.原文連結(超過一行或過長必須縮網址)：

",0,16,2017-02-18 07:46:05
0,0,Re: [其他] 交易系統,,"



（2） 穿刺

第二個趨勢跟隨訊號，曰「穿刺」。定義：均線多（空）頭排列下，K線開盤在白線之上

（下），最低在黃線之下（上），收盤在白線之上（下）。


好像很拗口吼，但還是請各位不要看圖，先按照上面的文字敘述在你的腦海中把圖形描繪

出來，如果你無法很迅速地想像出來，表示你對K線的構成和均線移動的圖形狀態還不是

很熟練，這是必要加強的基本功。你先不要急躁，仔細地按照文字想一下…。


好，請打開台指期周線圖，請看10/09/03收盤那根K棒，再對照一下上面的文字定義，這

樣應該清楚了吧。這樣的K棒，就好像一根針刺穿各條均線一樣，所以我把它定名為「穿

刺」。


這一個穿刺訊號，出現的頻率比「順勢突破」稍低，但就價格運動上，或許比後者有更強

的心理意義。（多頭）順勢突破，是開低收高收到均線上方，意味著在構成當根K線的單

位期間內，多空力量大致上是往同一方向（多頭）發展的，或許空頭只是在當天沒有發揮

，但可能在日後展現出實力；而（多頭）穿刺，則表示當日多空力量已經經過強烈對峙，

最後的結果是空方潰敗，我們可以假定空頭的實力已經消耗了相當程度，可能短期間已沒

有再起的機會。具體而言，長下影線表示空頭一開始積極展現實力，將價格打壓到相當的

低點，然而後來卻被多方完全反擊，多頭力道最後甚至足以使價格收在均線之上。就好像

領先了大半場的比賽，最後關頭竟被逆轉，那真的會讓人喪失戰意，再起不能。


對於上述文字說明，如果還是覺得難以理解的話，沒關係，我們看圖就好，下列圖例皆為

周線圖。


2884：17/01/13（穿刺）、17/02/10（順勢突破）、16/09/10（穿刺）、16/11/11（穿刺

失敗）

2823：15/11/06（類穿刺）、15/12/25（穿刺）

2891：12/03/16（穿刺）、13/06/28（穿刺+順勢突破）

4721：15/04/30（類穿刺）

2412：15/09/25（穿刺）、16/01/08（穿刺）、16/11/11穿刺


那麼，一樣請各位自行練習，並請試著比較各週期之訊號於效度上之差異。你看的圖越多

，你對線型及價格的運動會越有感覺。



（3） 趨勢發動訊號：均線展開（糾結突破）

進場訊號中，最重要的莫過於此了，我們顧名思義即可知，既然是「趨勢發動訊號」，就

表示它是將來整個趨勢行情的起點，也意味著交易者如能在此進場，將可能獲得整段行情

的利益。而前面兩個「趨勢跟隨訊號」，則是在一個順勢行情之中發生的，我在去年的期

貨文中也說過，他們通常是「加碼」用的。


正式說明前，還是要先提醒各位，這在我以前的文章中也強調過數次，任何訊號之成立均

務必以收盤確認，切忌在盤中預測收盤K線，尤其如果你是作期貨日內交易的超短線的話

，更是如此。


準備好了嗎？


均線展開訊號：這個訊號…沒有定義XD 這是因為依本訊號的特色，不容易用簡明而具技

術上嚴格意義的詞彙描述，所以我都是以圖形直接判定，一直沒有試著「編一段話」給它

。真的要的話可以這麼說：（多頭展開）均線糾結密合情況下，K線開盤在密集均線上或

稍下方，並收實體中長紅於各期均線上方。看不懂對不對？什麼糾結密合，還稍下方咧，

實體中長紅又是多長？長怎樣？沒關係，我們直接看圖。


來看我們的腰骨，5201凱衛周線圖。在16/08/05這根K棒前方，已有著近10個月的均線糾

結型態，而在16/08/05周線收了一根量增中紅K棒，各位可以看一下，它是不是大致符合

上面那一段用語不是很精確嚴謹的描述？這就是均線展開訊號，或稱糾結突破（我知道一

定會有人要把他取名為「孔雀開屏」XD），它是一個趨勢發動訊號。


雖然我說過我們的教學文姑且先讓大家「背公式」就好，不做太多原理的說明，但這裡我

想還是有必要讓各位先簡單地瞭解一下價格（K線）與均線的互動關係，以利將來訊號的

運用。我們都知道均線數值代表某段期間的平均價格（姑且不論各種特殊計算方式），也

可以理解為該期間所有交易者的平均成本，而一般我們軟體上的均線數值是於每根K線的

收盤價計算的。也就是說，若今天K線收盤在某條均線之上，明天開盤這條均線的數值就

會提高一點，圖形則會上升一點；反之則會下降。基本上是這樣的概念，應該不難理解吧

？


上述基本原理表示了一件事實，就是均線是由價格決定的，所以我們常常聽到人家說「

均線是落後指標」。這裡我不擬對此命題做何辯證，雖然我本身認為這句話沒有任何操

作上的意義，總之我們只要具有這個概念就可以了，就是價格決定均線，而我通常將此轉

換成一句話，即「價格引導均線」，以這樣的方式去理解它。再來，除了這一點之外，我

們還要瞭解另一個重要的事實，與上述是呈一體兩面的，就是我們在之前的文章也提過，

均線操作的核心概念，即「均線對價格具有支撐（壓力）的作用」，同樣的，我也以另一

種敘述方式去理解它，即「均線推動價格」。


我們用一個很簡單的實例就可以說明，例如我今天用50塊買了一個標的，當他漲到60塊我

將他賣出，之後價格回跌，我可能會在55、56塊又將他「買回來」。那是因為當我以60塊

賣出賺10塊時，我對此標的的「心理成本」停留在50塊，並且我心裡產生了「他的價格會

上漲」（因為我賺錢了）的認知，那麼當他價格再回跌時，我會傾向在高於50的價格再買

一次。因為第一，我「覺得我有賺了」，第二，我「覺得他會繼續上漲（因為他最近都在

漲）」，在這兩種心理的影響下，使我願意接受以比我第一次買時更高的價格再買一次（

反正我有賺錢，大不了最後把賺得吐回去，至少不會賠）。此時我願意以55塊重新買進，

而如果價格回到50塊甚至50塊以下呢？那我還不用搶的去買？


這就是均線，也就是交易者的心理成本，的「支撐」作用。好，如果他來50塊我沒買到，

現在變51塊，我買不買？當然買。51沒買到變55，沒關係還是買。55又沒買到變59、60了

…啊靠杯啊買就買啦，就當我上一波沒賺到，誰叫我出太早。於是隨著成交價越來越高，

計算出來的均線數值也會提高，也就是均線會上升。在這種情況下，從線圖上來看，就形

成了好像均線在「推升」價格樣子，價格則「沿著均線走」，如此不斷地循環，直到「盡

頭」。反過來，下跌的過程也是一樣。


「價格引導均線，均線推動價格」，這就是均線系統的精神。技術分析的意義，對我而言

，就是心理分析，暫且不論由於種種原因（偏見、欺騙、無知、誤解…等），使得技術分

析被某些人當作占星術、偽科學，那都與我無關，我只能說，如果妳能放開心胸去理解體

會，一張線圖所能告訴你的事，其實遠超乎你的想像。


靠杯怎麼變成好像在「傳教」了XD


回來談訊號。綜上所述，我們知道交易的原則就是要在「均線上升」的情況買進，「均線

下降」的情況賣出。什麼時候我們能得到最大利潤和最小風險呢？答案當然就是（和我們

在說明「均線交叉」的概念時一樣），要在「均線剛開始上升」時買進，這樣就能以最小

的可能虧損（停損範圍）吃到最大的可能獲利（即價格（或說交易心理）循環的完整過程

）。


這就是「均線展開」訊號的意義。


而為什麼我一再強調「股票操作要以周線圖為主圖」？除了先前曾提過的成交量、作線或

訊號效度的問題外，最重要的理由，就是我們要做真正的大行情。或許你會問，那為何不

做月線？這個問題，將會在下一篇文中做解答。本篇最後，我就提供數個不同標的的均線

展開訊號，讓各位熟悉他的樣子，體會一下。同樣的，也請各位自行尋找不同標的各種週

期的展開訊號，並觀察比較之。（以下皆為周線圖）


2891：16/07/15

4535：13/09/18

8930：16/07/29（美！）

8099：13/05/17（漂亮！）

4721：13/12/06（後面回測幅度甚大，膽子小的會被嚇跑）

1712：16/07/07（後面16/08/05還有一個極美的「順勢突破」喔）

2823：16/07/15

2412：14/12/31


















（下篇為本季完結篇）






















（上一篇沒爆真令人傷心T.T）






















（那個，話說，女友昨天回國了，所以，呃，我看情況盡可能把完結篇趕出來XD）























（對了，我還是想說，均線展開訊號，是我單元技術中的最高奧義（要寫這篇還真的是滿

掙扎XD），板友們將來有用到，有賺錢，別忘了來個信，和我分享你的喜悅）



--
",0,155,2017-02-18 03:46:08
0,1,Re: [標的] 網家,,"
原文有點長，恕刪
網家問題我覺得在於營益率和成長動能減緩。
營益率自去年第二季以來就有下降趨勢，主要還是因爲針對商家的讓利，加上佈局海外使
得成本上升導致。
成長動能則是可以自今年1月營收年增率看出，其實已經成長到一定的程度了。要再大幅
成長20趴以上是比較有難度的。
上面兩點導致外資調整持股比例。
只是調整的有點快.....
EPS端看去年第四季是否持續讓利，個人覺得年報EPS恐怕會較前年略低或持平，純粹個人
看法。
再回頭看籌碼，現在的籌碼真的不是很好，融資真的增加很多，這會讓反彈過程增加許多
壓力，加上這波下來都是急殺，可以想見要上去要等這些人吃筍....


結論：
這波反彈目標我會設在230，
進場目標價是今日收盤價 ，
200沒撐就停損。

小弟不是要帶風向，上面所述純屬個人看法，尚請各位先進不吝賜教，謝謝。



--
",74,74,2017-02-18 02:16:50
0,0,[公告] jjjjjjs 遭板主砍文兩篇 警告一次,,"
",0,21,2017-02-18 00:33:50
0,0,[請益] 股市技術指標K9、D9中「數字9」的意義?,,"
我是股市新手，有個問題想鄉民指教。

雅虎股市技術指標K9、D9，我知道指的是K、D線，不過我比較好奇的是為什麼要加上「9
」字。後來我上網查K及D值的算法，發現這K值=當日K值=2/3×前一日K值+1/3×當日RSV，其大
小跟「隨機指標」相關，
而「隨機指標」=(當天收盤價-「9」天內的最低價)/(「9」天內的最高價-「9」天內的最
低價)故技術分析圖中的指標K9、D9，數字「9」是指「近九天」的意思。

請問我這樣解釋對嗎?謝謝。

--
",0,41,2017-02-18 00:21:09
0,0,Fw: [新聞] 逮捕李在鎔獲准 韓檢接下來查朴槿惠,,"
",0,12,2017-02-17 21:33:31
0,1,Re: [標的] 瓦城,,"
",16,16,2017-02-17 20:47:33
0,0,[其他] 106年02月17日信用交易統計,,"
106年02月17日信用交易統計

項目            買進         賣出     現金(券)償還    前日餘額     今日餘額

融資(交易單位)  333,756     307,113      7,075      8,825,600      8,845,168
融券(交易單位)  24,214      28,744       4,522      471,844        471,852
融資金額(仟元)  6,766,152   5,987,100    94,035     136,700,263    137,385,280


",0,71,2017-02-17 20:37:39
0,0,[新聞] 高鑫零售小金雞要出嫁，潤泰全、潤泰新?1,,"
",0,28,2017-02-18 13:15:15
0,1,Re: [標的] 網家,,"
",87,87,2017-02-17 20:33:01
0,1,Re: [標的] 5386 青雲,,"

信仰股持續追蹤分析

今日走到 信徒們彼此安慰,想一些無厘頭的幻想

而月半風還是秉持著都是大家不團結

在此,本人分析

信徒在講著只要大家不掛單就不會跌停,我覺得可以觀察

明天盤前的兩個重點

1.在未開盤前的試搓盤的時候,是否信徒有聽話不掛跌停賣

2.虛假的主力,應該會用假買單衝漲停去看掛賣的人有多少
(明日有抓到再付圖給各位)

明天開盤的兩個重點

1.第一筆成交的張數,之後用多少單來封價格

2.若依然殺跌停,那信徒是抽單還事就掛單

3.若是打開,是否能拉回平盤


==============
個人操作,因為今日成交量很小,明日很有機會還是開下殺盤

而唯一終結跌式的方法就是爆量,

但偏偏信徒們仍在蔓延著不要掛單就不會跌的思維

因此,個人建議是信徒如果有看到,應該還是一早就掛跌停看能否賣掉,

主力若真要打開不會在沒量的情況之下去打開的


其實我是空軍,我最希望的是你們真的都抽單,但是還是沒人買啊~~

無量跌停

       無量跌停

               無量跌停

才是我最想看到的

但是,看到你們被一個胖子這樣糟蹋,我真的不忍啊

這傢伙之前都說他事技術分析的,

結果現在整天再靠邀這檔的籌碼面跟基本面

不敢說這檔的技術面呢???


--
",117,117,2017-02-17 20:30:38
0,0,[公告] Stock 板 開始舉辦樂透!,,"
20170218 TWSE成交量

PC平台請到 Stock 板 按'f'參與樂透!
手機請使用term系列等支援完整操作之APP參與賭

一張 50 Ptt幣 (迷你級)
樂透結束時間: 02/18/2017 08:30:44 Sat
",0,1,2017-02-17 20:18:35
0,0,[新聞] 至上今年營運 法人：先蹲後跳,,"

1.原文連結(超過一行或過長必須縮網址)：

",0,15,2017-02-17 18:52:49
0,0,[新聞] 南韓海運龍頭 韓進海運今宣告破產,,"
1.原文連結(超過一行或過長必須縮網址)：

",0,53,2017-02-17 18:16:32
0,0,[新聞] 大同訂5/11召開股東常會,,"

1.原文連結(超過一行或過長必須縮網址)：

",0,43,2017-02-17 18:06:11
0,0,Re: [新聞] 新光金是我家的！　吳家大公主怒摃李紀珠,,"
一定要來酸一下我們公主
我只講一點就好TSR(Total Shareholder Return，TSR)
TSR公式怎麼算

其實你自己也能算你自己的個股TSR

（期末股票價格 - 期初股票價格 + 股息） / 期初股票價格 = 全體股東報酬率

其實這就是在算資本利得
就是假設新光金年底股價漲到20元 年初股價是5元 配發1元股息
那他的TSR就是

(20 - 5 + 1) / 5 = 16/5 = 320%

而吳家大公主最好笑的地方就是他要李紀珠提供TSR，這就涉及了股價預測
所以李紀珠就說TSR都是事後算，沒辦法事前算
這就是顯示我們吳家大公主好笑的地方
你要一個總經理預測股價，那你預測給我看
年底新光金是多少錢，你這麼威猛你算給我看吧。

這是關於TSR的部分

而交叉行銷，李紀珠達不出來這是廢話
Cross selling這個領域是這樣，有點類似現在data mining在做的事情
我不知道新光金有沒有在做這一塊
據說第一金跟國泰都有在找人做data mining了
Cross selling的意義在於把新的產品搭配老客戶的需求來銷售。
這總共有四種主要的銷售方式

第一種：
Cross selling因為掌握客戶的data所以很容易做出這種銷售模式

第二種：
升級銷售，把產品再進一步讓老客戶擴大購買

第三種：
滲透銷售，把舊產品往新的客戶市場賣

第四種：
拓展銷售，新產品推出要擴展市場

公主說的交叉銷售，確實是金融業最常使用的一種方式
因為掌握了個人資料所以很容易賣出產品，比方30歲的人就適婚年齡就會有房貸需求
或者有在新壽證券開戶的或許會有信用貸款需求等等


但重點是答不出這題很簡單，因為這個議題太大了，不針對面向就會非常客製化
要講屁話很簡單啊，我們將開始研發data mining系統以及利用CRM來進行數據深化
已找到符合客戶的商品

而且公主的問題非常非常的好笑
他不問李紀珠
新壽的保單與金融商品設計是否合理和有控管風險
只一直問ROE跟KPI

馬的，很多垃圾投銀就是狂拼ROE專賣CDO垃圾債連動債
那ROE曇花一現
投資人死光光，拜託有點sense好嗎？

另外請公主講新光金是你吳家的
妳是把我們這些真金白銀買股票的小股東都當屎就對惹？
你才9%耶，你是吳9%，懂嗎？

其他91%我們都還沒講話，你就先說妳9%是你吳家
ＱＱ喔

有便當買50元，給老闆5元，然後說這便當都是我的？
這麼荒謬的言論......
老天保佑李紀珠總經理能夠抗壓成功，在下小股東支持你

PS:我李紀珠腦粉，護航偶像應該的 勿戰

",0,69,2017-02-17 17:47:38
-28,1,Re: [標的] 2498 宏達電 空,,"
    2/17 今天外資倒貨 1872 張，其中有 1512 張是大摩倒的，表示過去玩宏達電常勝

君的大摩已經完全放棄這支爛股了，自營在 2/15 買 2/16 還沒倒乾淨的貨今天也一口

氣倒光光，真可說是樹倒猢猻散，頗有凱衛與青雲的 fu，所以我現在更正一下昨天寫的

停利目標價，原本寫 75，現在我改成 55 再停利，希望大家一起來空，主力有種嘎我,

謝謝!!

",0,28,2017-02-17 17:41:26
0,0,[新聞] 出售中國大潤發？高鑫零售下午暫停交易,,"

1.原文連結(超過一行或過長必須縮網址)：

",0,71,2017-02-17 16:24:06
0,0,[新聞] 去年每股賺6.04元，穩懋登上櫃新高價,,"
1.原文連結(超過一行或過長必須縮網址)：

  ",0,39,2017-02-17 15:37:54
0,0,[新聞]TPK-KY法說後　外資看法分歧,,"

1.原文連結(超過一行或過長必須縮網址)：
",0,18,2017-02-17 15:01:53
0,1,Re: [標的] 8150南茂,,"
",26,26,2017-02-17 14:59:40
0,0,[新聞] 樂陞案詐欺同夥命運大不同,,"

1.原文連結(超過一行或過長必須縮網址)：
",0,19,2017-02-17 14:55:10
0,0,[其他] 106年02月17日三大法人買賣金額統計表,,"
",0,38,2017-02-17 14:50:17
0,0,[新聞] 越漁民向台塑訴訟求償 與警衝突,,"
1.原文連結(超過一行或過長必須縮網址)：
",0,13,2017-02-17 14:30:53
0,0,[其他] 猜猜明天補班日成交量多少吧(已發送),,"
各位骨板股神安安

明天又是補班日了

不過我們偉大的台股領先全球

照常交易喔^.<

不知道明天補班日的成交量會有多少呢？

開放各位鍵盤股神猜猜看囉
－－－－－－－－－－－－－－－－－－
麻煩在底下推文

明天成交量的整數位數字（例如：761）

容許誤差值：正負3億（假設明天750億，則747~753都算數）

以14:30收盤成交量為準，無條件進位到整數位


猜對的一個發500P、無限發

統計到明天早上8:45期貨開盤為止


＊重複推文不算
－－－－－－－－－－－－－－－－－－
",0,1421,2017-02-17 14:19:55
0,1,Re: [標的] 5264 鎧勝-KY,,"
1.標的:鎧勝-KY
2.分類:多
3.分析:
今天我又把鎧勝-KY買回來了，價格是95.1元。
[基本面]
鎧勝1月營收下滑年減49.43%，導致原本站上百元的股價掉下來。
這裡我想告訴大家一件事，去年的農曆過年在2月，今天的農曆過年在1月。
哪家開在華人地區的公司不下滑?

[籌碼面]
外資在公布營收的那天2/13，狂賣777張。
之後的三天外資又把鎧勝的股票買回來了。
(2/14-305張 2/15-258張 2/16-634張)
這三天合計張數是 1197張，但是股價卻只有95.8元。
",15,15,2017-02-17 14:01:06
0,0,[閒聊] 2017/02/17 盤後閒聊,,"
",0,563,2017-02-17 14:00:00
0,0,[公告] smile831 遭板主砍文三篇 水桶一週,,"
",0,62,2017-02-17 13:57:53
0,0,[請益] 股票條件觸發軟體,,"
想請問一下大家
最近發現自己挑選的股票(十幾檔)有幾檔突然噴起來
因為沒時間常常開線圖
發現放入觀察的股票
早在前一陣子就鈞線糾結了很久
所以想問
有沒有推薦的股票軟體
可以設訂股票均線糾結 黃金交叉之類的觸發條件呢
謝謝!~~

--
",0,7,2017-02-17 13:20:14
0,0,[新聞],,"


1.原文連結(超過一行或過長必須縮網址)：

",0,12,2017-02-17 12:43:32
0,0,Re: [請益] 該怎麼說服家人把操盤當正職？,,"

先說結論 都是成敗論英雄


我是一個全職股票投機者

專門做短線短沖 有時做3分鐘 有時做3小時 最長持有不超過2天 0050 0056例外

98-1士官退伍後  憑著學生時代打工兼課投資累積約50萬

2010下半年     +100萬
2011           +290萬
2012           +430萬
2013           +380萬
2014           +640萬
2015           +180萬
2016           +100萬
2017至今       +9萬

6年半來大約獲利2000多萬  每個月都有獲利 但不平均

一開始全職的時候 我很清楚地告訴自己 不行就快去考銀行考公職...

很慶幸這幾年我是成功的  只是現在市場跟以前差太多了

我得承認我已經無法靠以前模式獲利了

還好過去累積不少資金

買一些長線部位吃股息還能養活自己


一開始的時候家裡確實不是很支持

到現在已經不管我了 還被我說服他們的資金也可以放在0050 0056上

我一直覺得

自己的人生自己負責

想做就去做

只是注意槓桿不要開太大 最多歸零後 不負債

再回去社會打拼

人生是自己在過的

只要覺得對得起自己就好



站內信無法都回

補充一下

1.一開始的50萬資金是打工賺加上金融海嘯時期亂買認售莫名其妙賺到的
  無SOP 自己念商 想玩玩股票而已  這百分之百是運氣好

2.我確實運氣好 研究出一套短沖SOP 也只懂這個 什麼技術分析財報分析籌碼分析
  我沒有一個懂得

3.搓合時間越來越短是事實 加上以後要逐筆搓合 我更無法獲利

4.我們這種人沒有報酬率的概念 都是獲利的絕對金額
  今天就算給一開始就給我1000萬  我也應該這六年只能賺到2000萬 也許會多一點
  但絕對不會多多少 不會是1000萬的40倍

5.獲利方法當然無法分享 但有很多很簡單的無風險獲利
  例如公開收購(樂陞例外 我有避險 太特別)  股票抽籤
  這幾年我光抽籤就賺了50萬吧 XD  (多戶頭抽籤)








--
",0,105,2017-02-17 11:09:19
0,0,Re: [請益] 該怎麼說服家人把操盤當正職？,,"
",0,45,2017-02-17 10:18:04
-204,1,Re: [標的] 5386 青雲,,"
今天雖然跌停鎖死
但好標的不怕跌，越跌越買
到時候那些ptt做空怎麼死的都不知道
1月營收年曾283%耶!!!!營收獲利大噴發成長股
短線震盪隨便他，目標上看100!!
當出大力光1000元也一堆人看空，現在呢!?
大股東內部人握緊9000張籌碼，只剩4000張浮動籌碼都嫌少
還不趁現在便宜時多買幾張
加碼ALL IN!!!

拜託師父原諒我QAQ
讓我回到富豪居的擁抱
不然每天早上工作壓力很大沒笑話可看了QQ

--
",0,204,2017-02-17 10:08:47
